iter	Passed	Remaining
0	200	200553
1	217	108548
2	234	77980
3	252	62816
4	271	54016
5	288	47821
6	303	43098
7	319	39578
8	334	36820
9	349	34609
10	364	32758
11	379	31271
12	395	30013
13	411	28948
14	426	28004
15	443	27286
16	459	26578
17	475	25933
18	491	25377
19	507	24868
20	523	24401
21	538	23927
22	553	23499
23	568	23132
24	583	22746
25	597	22384
26	611	22038
27	624	21685
28	638	21374
29	652	21096
30	666	20819
31	680	20575
32	693	20327
33	708	20118
34	721	19903
35	735	19687
36	749	19499
37	763	19317
38	777	19148
39	789	18959
40	805	18840
41	820	18720
42	834	18561
43	847	18413
44	860	18267
45	872	18104
46	886	17975
47	900	17850
48	913	17725
49	927	17621
50	940	17498
51	954	17398
52	966	17277
53	979	17154
54	990	17025
55	1001	16890
56	1014	16787
57	1026	16675
58	1040	16596
59	1053	16500
60	1067	16436
61	1081	16362
62	1095	16293
63	1109	16224
64	1122	16149
65	1136	16082
66	1150	16019
67	1163	15946
68	1176	15875
69	1192	15837
70	1206	15784
71	1220	15737
72	1236	15703
73	1250	15642
74	1263	15587
75	1286	15637
76	1303	15625
77	1320	15614
78	1337	15598
79	1352	15557
80	1370	15545
81	1389	15550
82	1405	15522
83	1419	15480
84	1432	15423
85	1446	15373
86	1461	15335
87	1475	15289
88	1489	15247
89	1505	15218
90	1517	15161
91	1532	15125
92	1547	15090
93	1561	15052
94	1576	15016
95	1589	14964
96	1603	14929
97	1615	14873
98	1629	14832
99	1643	14788
100	1656	14744
101	1668	14691
102	1684	14668
103	1699	14643
104	1712	14592
105	1724	14546
106	1737	14503
107	1749	14450
108	1762	14405
109	1776	14371
110	1789	14335
111	1802	14287
112	1814	14241
113	1827	14206
114	1842	14177
115	1853	14123
116	1868	14098
117	1881	14065
118	1895	14032
119	1912	14026
120	1926	13996
121	1941	13971
122	1952	13924
123	1967	13896
124	1980	13863
125	1994	13836
126	2008	13806
127	2021	13769
128	2033	13730
129	2047	13703
130	2062	13683
131	2077	13659
132	2090	13628
133	2104	13598
134	2117	13568
135	2129	13525
136	2142	13495
137	2154	13458
138	2167	13428
139	2182	13404
140	2195	13376
141	2209	13351
142	2224	13330
143	2239	13310
144	2252	13279
145	2267	13263
146	2281	13239
147	2295	13212
148	2309	13189
149	2323	13168
150	2337	13143
151	2351	13117
152	2363	13083
153	2376	13054
154	2391	13036
155	2404	13009
156	2419	12990
157	2432	12964
158	2446	12937
159	2461	12922
160	2474	12896
161	2489	12875
162	2503	12856
163	2516	12828
164	2530	12807
165	2545	12790
166	2559	12768
167	2572	12742
168	2586	12718
169	2601	12703
170	2615	12680
171	2629	12659
172	2646	12650
173	2663	12641
174	2676	12615
175	2690	12596
176	2701	12563
177	2714	12533
178	2726	12507
179	2739	12482
180	2753	12459
181	2767	12439
182	2784	12430
183	2798	12412
184	2812	12391
185	2825	12366
186	2840	12349
187	2853	12326
188	2868	12308
189	2882	12286
190	2894	12261
191	2909	12246
192	2924	12228
193	2937	12204
194	2951	12183
195	2964	12162
196	2977	12136
197	2990	12113
198	3003	12090
199	3018	12072
200	3031	12052
201	3046	12034
202	3059	12013
203	3072	11988
204	3086	11968
205	3100	11951
206	3112	11924
207	3127	11909
208	3141	11890
209	3156	11873
210	3172	11863
211	3187	11849
212	3200	11826
213	3215	11810
214	3229	11790
215	3241	11765
216	3254	11742
217	3266	11716
218	3281	11701
219	3295	11683
220	3310	11668
221	3322	11644
222	3337	11628
223	3352	11612
224	3364	11590
225	3378	11571
226	3395	11563
227	3410	11548
228	3425	11533
229	3439	11516
230	3453	11495
231	3465	11471
232	3479	11455
233	3493	11437
234	3507	11417
235	3519	11394
236	3532	11372
237	3544	11348
238	3558	11331
239	3572	11313
240	3586	11294
241	3600	11278
242	3614	11259
243	3626	11235
244	3640	11217
245	3653	11197
246	3666	11178
247	3679	11157
248	3693	11138
249	3707	11122
250	3720	11103
251	3733	11080
252	3747	11064
253	3761	11047
254	3775	11029
255	3788	11011
256	3802	10992
257	3815	10974
258	3828	10953
259	3841	10933
260	3855	10916
261	3867	10893
262	3880	10873
263	3894	10856
264	3908	10839
265	3921	10821
266	3933	10799
267	3947	10781
